symbol	ensembl_id	chrom	start	end	strand	panels
ADCY10	ENSG00000143199	chr1	167809098	167914215	-1	nephrocalcinosis
AGXT	ENSG00000172482	chr2	240868543	240881531	1	nephrocalcinosis
ANAPC1	ENSG00000153107	chr2	111611639	111884690	-1	sac
ANAPC2	ENSG00000176248	chr9	137174784	137189028	-1	sac
APC	ENSG00000134982	chr5	112707452	112846239	1	cancer_predisposition
ATM	ENSG00000149311	chr11	108222788	108369102	1	cin
ATP6V0A4	ENSG00000105929	chr7	138706289	138799672	-1	nephrocalcinosis
ATP6V1B1	ENSG00000116039	chr2	70935771	70965431	1	nephrocalcinosis
ATR	ENSG00000175054	chr3	142449007	142578868	-1	cin
AURKA	ENSG00000087586	chr20	56369382	56392566	-1	sac
AURKB	ENSG00000178999	chr17	8204335	8210638	-1	sac
BLM	ENSG00000197299	chr15	90717340	90816166	1	cin
BRCA1	ENSG00000012048	chr17	43044292	43170245	-1	cin
BRCA2	ENSG00000139618	chr13	32315086	32400268	1	cin
BRIP1	ENSG00000136492	chr17	61679139	61863561	-1	cin
BSND	ENSG00000162399	chr1	54998906	55017172	1	nephrocalcinosis
BUB1	ENSG00000169679	chr2	110635468	110678098	-1	sac
BUB1B	ENSG00000156970	chr15	40160984	40221137	1	mva_core
BUB3	ENSG00000154473	chr10	123154365	123313144	1	sac
CASR	ENSG00000036828	chr3	122183665	122291629	1	nephrocalcinosis
CDC20	ENSG00000117399	chr1	43358907	43363212	1	sac
CDC27	ENSG00000004897	chr17	47117703	47189422	-1	sac
CDKN1C	ENSG00000129757	chr11	2883213	2885775	-1	cancer_predisposition
CDKN2A	ENSG00000147889	chr9	21966924	21995301	-1	cancer_predisposition
CENPA	ENSG00000115163	chr2	26764289	26801067	1	sac
CENPC	ENSG00000145241	chr4	67468762	67545565	-1	sac
CENPE	ENSG00000138778	chr4	103105349	103198463	-1	mva_core,sac
CENPF	ENSG00000117724	chr1	214603172	214664574	1	sac
CEP57	ENSG00000166037	chr11	95789965	95837070	1	mva_core
CLCN5	ENSG00000171365	chrX	49922549	50099235	1	nephrocalcinosis
CLCNKB	ENSG00000184908	chr1	16040252	16057367	1	nephrocalcinosis
CLDN16	ENSG00000113946	chr3	190322522	190412460	1	nephrocalcinosis
CLDN19	ENSG00000164007	chr1	42733093	42740286	-1	nephrocalcinosis
CYP24A1	ENSG00000019186	chr20	54153446	54173986	-1	nephrocalcinosis
DICER1	ENSG00000100697	chr14	95086228	95158010	-1	cancer_predisposition
ESCO2	ENSG00000171320	chr8	27771949	27812640	1	cin
ESPL1	ENSG00000135476	chr12	53268248	53293643	1	sac
EZH2	ENSG00000106462	chr7	148807257	148884625	-1	cancer_predisposition
FAM20A	ENSG00000108950	chr17	68535113	68601407	-1	nephrocalcinosis
FANCA	ENSG00000187741	chr16	89726683	89816977	-1	cin
FANCB	ENSG00000181544	chrX	14690388	14873255	-1	cin
FANCC	ENSG00000158169	chr9	95099054	95426796	-1	cin
FANCD2	ENSG00000144554	chr3	10026370	10101937	1	cin
FANCE	ENSG00000112039	chr6	35452315	35467106	1	cin
FANCF	ENSG00000183161	chr11	22622533	22625823	-1	cin
FANCG	ENSG00000221829	chr9	35073793	35082444	-1	cin
FANCI	ENSG00000140525	chr15	89243854	89318091	1	cin
FANCL	ENSG00000115392	chr2	58159243	58241410	-1	cin
FANCM	ENSG00000187790	chr14	45135909	45200890	1	cin
FBXW7	ENSG00000109670	chr4	152320544	152536353	-1	cancer_predisposition
GPC3	ENSG00000147257	chrX	133535745	133987100	-1	cancer_predisposition
GRHPR	ENSG00000137106	chr9	37422660	37463037	1	nephrocalcinosis
HDAC8	ENSG00000147099	chrX	72329516	72573101	-1	cin
HOGA1	ENSG00000241935	chr10	97584323	97613829	1	nephrocalcinosis
HRAS	ENSG00000174775	chr11	532242	537343	-1	cancer_predisposition
KCNJ1	ENSG00000151704	chr11	128836315	128874671	-1	nephrocalcinosis
KNTC1	ENSG00000184445	chr12	122527246	122628182	1	sac
KRAS	ENSG00000133703	chr12	25205246	25326473	-1	cancer_predisposition
MAD1L1	ENSG00000002822	chr7	1815787	2233243	-1	sac
MAD2L1	ENSG00000164109	chr4	120055623	120067192	-1	sac
MAD2L2	ENSG00000116670	chr1	11657230	11692605	-1	sac
MLH1	ENSG00000076242	chr3	36992834	37051505	1	cancer_predisposition
MRE11	ENSG00000020922	chr11	94415570	94512676	-1	cin
MSH2	ENSG00000095002	chr2	47403067	47663146	1	cancer_predisposition
MSH6	ENSG00000116062	chr2	47695530	47810109	1	cancer_predisposition
MYOD1	ENSG00000129152	chr11	17719565	17722136	1	cancer_predisposition
NBN	ENSG00000104320	chr8	89924515	90003228	-1	cin
NDC80	ENSG00000080986	chr18	2571520	2616635	1	sac
NF1	ENSG00000196712	chr17	31094883	31382116	1	cancer_predisposition
NIPBL	ENSG00000164190	chr5	36876716	37066422	1	cin
NRAS	ENSG00000213281	chr1	114704468	114716775	-1	cancer_predisposition
NSD1	ENSG00000165671	chr5	177131787	177300213	1	cancer_predisposition
NUF2	ENSG00000143228	chr1	163266576	163355766	1	sac
OCRL	ENSG00000122126	chrX	129539849	129592772	1	nephrocalcinosis
PALB2	ENSG00000083093	chr16	23603158	23641342	-1	cin
PDS5B	ENSG00000083642	chr13	32586315	32778320	1	cin
PLK1	ENSG00000166851	chr16	23677656	23690372	1	sac
PMS2	ENSG00000122512	chr7	5970925	6009130	-1	cancer_predisposition
POLD1	ENSG00000062822	chr19	50384204	50418018	1	cancer_predisposition
POLE	ENSG00000177084	chr12	132623753	132687376	-1	cancer_predisposition
PTCH1	ENSG00000185920	chr9	95442980	95517057	-1	cancer_predisposition
PTPN11	ENSG00000179295	chr12	112418351	112509918	1	cancer_predisposition
PTTG1	ENSG00000164611	chr5	160421801	160428748	1	sac
RAD21	ENSG00000164754	chr8	116845934	116874924	-1	cin
RAD50	ENSG00000113522	chr5	132556019	132646349	1	cin
RAD51C	ENSG00000108384	chr17	58692569	58735611	1	cin
RAF1	ENSG00000132155	chr3	12582101	12664201	-1	cancer_predisposition
RB1	ENSG00000139687	chr13	48303710	48599436	1	cancer_predisposition
RECQL4	ENSG00000160957	chr8	144511284	144517890	-1	cin
SGO1	ENSG00000129810	chr3	20155363	20186800	-1	sac
SKA1	ENSG00000154839	chr18	50374996	50394176	1	sac
SKA2	ENSG00000182628	chr17	59109857	59155260	-1	sac
SKA3	ENSG00000165480	chr13	21152061	21176605	-1	sac
SLC12A1	ENSG00000074803	chr15	48178392	48304078	1	nephrocalcinosis
SLC34A1	ENSG00000131183	chr5	177379235	177398848	1	nephrocalcinosis
SLC34A3	ENSG00000198569	chr9	137230757	137236555	1	nephrocalcinosis
SLC3A1	ENSG00000138079	chr2	44275458	44322674	1	nephrocalcinosis
SLC4A1	ENSG00000004939	chr17	44248390	44268162	-1	nephrocalcinosis
SLC7A9	ENSG00000021488	chr19	32830508	32869805	-1	nephrocalcinosis
SLX4	ENSG00000188827	chr16	3579654	3611617	-1	cin
SMARCA4	ENSG00000127616	chr19	10960824	11079426	1	cancer_predisposition
SMARCB1	ENSG00000099956	chr22	23786931	23838009	1	cancer_predisposition
SMC1A	ENSG00000072501	chrX	53361522	53422750	-1	cin
SMC3	ENSG00000108055	chr10	110567668	110606063	1	cin
SOS1	ENSG00000115904	chr2	38962206	39124345	-1	cancer_predisposition
SPC24	ENSG00000161888	chr19	11131419	11155815	-1	sac
SPC25	ENSG00000152253	chr2	168834132	168913371	-1	sac
STAG2	ENSG00000101972	chrX	123960212	124422664	1	cin
SUFU	ENSG00000107882	chr10	102503952	102633535	1	cancer_predisposition
TP53	ENSG00000141510	chr17	7661779	7687546	-1	cancer_predisposition
TRIP13	ENSG00000071539	chr5	892849	919357	1	mva_core
TSC1	ENSG00000165699	chr9	132891348	132946874	-1	cancer_predisposition
TSC2	ENSG00000103197	chr16	2047345	2089491	1	cancer_predisposition
TTK	ENSG00000112742	chr6	80003887	80043580	1	sac
VDR	ENSG00000111424	chr12	47841537	47943048	-1	nephrocalcinosis
WRN	ENSG00000165392	chr8	31033761	31176138	1	cin
WT1	ENSG00000184937	chr11	32387775	32435885	-1	cancer_predisposition
ZW10	ENSG00000086827	chr11	113729794	113773771	-1	sac
ZWILCH	ENSG00000174442	chr15	66504959	66550130	1	sac
ZWINT	ENSG00000122952	chr10	56352710	56361392	-1	sac
